Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
gm. Przeciszów,oświęcimski,małopolskie,31,245,1856,465,10,102,3,5,896,4,6
gm. Zator,oświęcimski,małopolskie,58,388,2599,628,5,121,2,5,1076,4,8
gm. Koniusza,proszowicki,małopolskie,53,265,2846,340,11,195,2,5,576,5,14
gm. Koszyce,proszowicki,małopolskie,26,132,1620,184,2,148,3,4,279,4,1
gm. Nowe Brzesko,proszowicki,małopolskie,28,203,1882,213,4,176,3,3,351,3,3
gm. Pałecznica,proszowicki,małopolskie,10,65,1236,78,4,235,2,2,114,5,1
gm. Proszowice,proszowicki,małopolskie,122,512,4694,751,18,397,8,8,1311,7,11
gm. Radziemice,proszowicki,małopolskie,12,103,1136,108,5,114,0,2,144,2,1
m. Jordanów,suski,małopolskie,55,261,1414,298,3,71,5,6,536,6,7
m. Sucha Beskidzka,suski,małopolskie,74,463,2147,518,5,119,3,10,1523,5,16
gm. Budzów,suski,małopolskie,37,408,2791,379,6,139,3,3,463,2,19
gm. Bystra-Sidzina,suski,małopolskie,33,371,2144,222,4,66,1,2,395,3,3
gm. Jordanów,suski,małopolskie,43,454,3928,382,11,110,7,2,568,1,6
gm. Maków Podhalański,suski,małopolskie,92,666,4891,696,4,163,12,13,1576,8,16
gm. Stryszawa,suski,małopolskie,88,533,3956,561,11,126,5,10,1083,6,14
gm. Zawoja,suski,małopolskie,59,352,2777,455,4,91,2,10,874,2,6
gm. Zembrzyce,suski,małopolskie,34,291,1684,297,5,81,1,3,601,2,9
gm. Ciężkowice,tarnowski,małopolskie,38,318,3483,432,5,304,7,1,606,5,8
gm. Gromnik,tarnowski,małopolskie,35,293,3240,252,3,139,1,4,263,1,10
gm. Lisia Góra,tarnowski,małopolskie,65,631,5027,646,13,293,11,5,915,2,16
gm. Pleśna,tarnowski,małopolskie,61,498,3887,542,12,225,5,4,741,6,12
gm. Radłów,tarnowski,małopolskie,40,382,2946,458,6,203,10,4,551,2,4
gm. Ryglice,tarnowski,małopolskie,51,472,3872,383,7,164,5,4,576,6,13
gm. Rzepiennik Strzyżewski,tarnowski,małopolskie,21,260,2660,188,8,164,1,1,229,2,8
gm. Skrzyszów,tarnowski,małopolskie,88,575,4605,594,14,214,9,11,1000,4,21
gm. Tarnów,tarnowski,małopolskie,191,1209,7615,1439,22,481,13,18,2488,12,43
gm. Tuchów,tarnowski,małopolskie,106,718,5777,668,7,364,4,5,937,8,20
gm. Wierzchosławice,tarnowski,małopolskie,70,416,3304,522,8,313,10,5,886,7,16
gm. Wietrzychowice,tarnowski,małopolskie,21,96,1051,123,7,192,1,5,188,2,1
gm. Wojnicz,tarnowski,małopolskie,74,651,4252,629,13,207,4,2,901,9,12
gm. Zakliczyn,tarnowski,małopolskie,55,553,4166,408,5,237,5,4,677,4,19
gm. Żabno,tarnowski,małopolskie,121,658,5557,829,9,543,12,8,1207,6,17
gm. Szerzyny,tarnowski,małopolskie,23,348,2927,207,4,172,4,5,239,2,4
m. Zakopane,tatrzański,małopolskie,271,1154,7368,2164,27,306,24,22,5165,21,42
gm. Biały Dunajec,tatrzański,małopolskie,20,279,2363,253,3,68,1,4,332,1,6
gm. Bukowina Tatrzańska,tatrzański,małopolskie,66,422,4631,531,9,112,2,6,937,5,16
gm. Kościelisko,tatrzański,małopolskie,74,351,2656,546,8,82,4,1,964,6,3
gm. Poronin,tatrzański,małopolskie,51,489,3856,545,9,78,6,5,845,4,5
gm. Andrychów,wadowicki,małopolskie,334,2118,11516,2870,31,503,23,29,5230,26,60
gm. Brzeźnica,wadowicki,małopolskie,60,358,2900,799,6,155,4,7,1034,7,12
gm. Kalwaria Zebrzydowska,wadowicki,małopolskie,128,724,5378,1407,16,256,9,14,2302,9,14
gm. Lanckorona,wadowicki,małopolskie,29,236,1810,382,3,74,5,4,575,2,10
gm. Mucharz,wadowicki,małopolskie,36,144,1181,270,1,35,4,4,447,1,10
gm. Spytkowice,wadowicki,małopolskie,56,436,3221,581,5,119,5,10,820,6,8
gm. Stryszów,wadowicki,małopolskie,28,270,2088,439,5,97,2,5,652,3,10
gm. Tomice,wadowicki,małopolskie,60,285,2119,546,9,152,6,5,802,2,14
gm. Wadowice,wadowicki,małopolskie,288,1298,9709,2531,32,514,22,29,5035,24,55
gm. Wieprz,wadowicki,małopolskie,75,405,3971,772,10,211,4,8,1015,3,8
gm. Biskupice,wielicki,małopolskie,64,450,3180,683,14,261,6,4,996,10,14
gm. Gdów,wielicki,małopolskie,126,839,5514,927,14,902,2,10,1332,10,24
gm. Kłaj,wielicki,małopolskie,98,439,2870,790,10,208,5,5,1385,7,10
gm. Niepołomice,wielicki,małopolskie,278,1324,7076,2406,38,445,22,21,4047,11,51
gm. Wieliczka,wielicki,małopolskie,523,2530,13759,4475,53,1054,47,44,9372,34,82
m. Kraków,Kraków,małopolskie,15292,32690,137775,65841,929,11866,417,678,164340,1081,1868
m. Nowy Sącz,Nowy Sącz,małopolskie,697,3493,22116,4303,91,903,56,33,11011,41,121
m. Tarnów,Tarnów,małopolskie,1090,4217,23856,6525,89,2271,62,75,16801,59,139
gm. Białobrzegi,białobrzeski,mazowieckie,70,301,3179,578,12,112,7,11,1355,9,12
gm. Promna,białobrzeski,mazowieckie,24,143,1842,239,3,137,2,6,404,2,11
gm. Radzanów,białobrzeski,mazowieckie,15,95,1464,160,6,75,2,4,139,1,2
gm. Stara Błotnica,białobrzeski,mazowieckie,24,171,2215,186,8,73,1,2,211,1,4
gm. Stromiec,białobrzeski,mazowieckie,36,179,2027,232,3,47,3,2,272,0,1
gm. Wyśmierzyce,białobrzeski,mazowieckie,15,99,1157,120,4,34,2,2,158,1,3
m. Ciechanów,ciechanowski,mazowieckie,473,1405,10385,2342,106,816,15,29,6441,23,48
gm. Ciechanów,ciechanowski,mazowieckie,47,225,1795,369,5,117,3,5,729,3,4
gm. Glinojeck,ciechanowski,mazowieckie,43,221,2129,303,12,146,2,6,589,6,0
gm. Gołymin-Ośrodek,ciechanowski,mazowieckie,13,110,1223,105,6,58,3,0,192,0,4
gm. Grudusk,ciechanowski,mazowieckie,14,76,1220,103,4,60,4,1,204,1,2
gm. Ojrzeń,ciechanowski,mazowieckie,29,102,1363,176,14,57,2,2,204,0,3
gm. Opinogóra Górna,ciechanowski,mazowieckie,56,172,1737,280,15,140,1,2,327,0,3
gm. Regimin,ciechanowski,mazowieckie,42,129,1511,172,6,84,1,1,348,2,7
gm. Sońsk,ciechanowski,mazowieckie,38,244,2423,303,26,133,2,2,531,4,7
m. Garwolin,garwoliński,mazowieckie,136,813,4835,1152,27,250,12,8,2302,15,16
m. Łaskarzew,garwoliński,mazowieckie,25,185,1568,293,12,50,2,3,429,3,10
gm. Borowie,garwoliński,mazowieckie,26,215,2031,223,5,81,4,0,218,1,9
gm. Garwolin,garwoliński,mazowieckie,75,581,4363,743,13,241,5,9,1091,8,23
gm. Górzno,garwoliński,mazowieckie,21,232,2652,347,9,133,2,1,262,2,5
gm. Łaskarzew,garwoliński,mazowieckie,39,229,2037,245,6,80,1,1,313,1,11
gm. Maciejowice,garwoliński,mazowieckie,24,223,2724,306,4,66,3,4,319,0,4
gm. Miastków Kościelny,garwoliński,mazowieckie,15,183,1911,210,3,91,1,5,262,0,5
gm. Parysów,garwoliński,mazowieckie,19,142,1607,171,4,54,6,1,108,1,9
gm. Pilawa,garwoliński,mazowieckie,67,421,3730,645,17,143,8,8,770,4,13
gm. Sobolew,garwoliński,mazowieckie,34,287,3115,356,11,100,8,3,407,3,12
gm. Trojanów,garwoliński,mazowieckie,18,262,2987,276,9,99,6,2,289,3,8
gm. Wilga,garwoliński,mazowieckie,38,188,1708,378,4,114,8,3,631,3,8
gm. Żelechów,garwoliński,mazowieckie,37,346,3123,364,13,91,6,7,443,2,13
m. Gostynin,gostyniński,mazowieckie,185,498,4214,1072,9,201,7,15,2799,16,21
gm. Gostynin,gostyniński,mazowieckie,99,274,3588,582,7,184,4,14,1093,4,7
gm. Pacyna,gostyniński,mazowieckie,10,69,1233,112,3,80,0,0,172,0,3
gm. Sanniki,gostyniński,mazowieckie,25,154,2013,224,4,105,2,1,343,1,4
gm. Szczawin Kośc.,gostyniński,mazowieckie,27,142,1588,203,3,92,3,2,305,0,4
m. Milanówek,grodziski,mazowieckie,248,552,3194,1305,17,221,14,16,3925,19,20
m. Podkowa Leśna,grodziski,mazowieckie,77,105,703,336,5,46,3,5,1204,7,6
gm. Baranów,grodziski,mazowieckie,40,196,1527,379,13,105,3,8,517,4,7
gm. Grodzisk Mazowiecki,grodziski,mazowieckie,573,1605,9168,4223,59,637,24,36,9358,41,65
gm. Jaktorów,grodziski,mazowieckie,136,384,3021,1034,20,110,7,14,2146,3,12
gm. Żabia Wola,grodziski,mazowieckie,101,320,2045,799,12,123,7,6,1693,5,13
gm. Belsk Duży,grójecki,mazowieckie,34,258,1850,355,10,316,0,7,513,10,13
gm. Błędów,grójecki,mazowieckie,32,250,2394,325,13,225,1,6,494,1,7
gm. Chynów,grójecki,mazowieckie,84,398,2775,604,19,300,5,5,948,7,11
gm. Goszczyn,grójecki,mazowieckie,12,103,1109,109,7,105,0,0,147,1,3
gm. Grójec,grójecki,mazowieckie,309,723,5518,1790,17,482,15,16,4307,5,29
gm. Jasieniec,grójecki,mazowieckie,46,212,1515,281,13,200,3,4,361,1,4
gm. Mogielnica,grójecki,mazowieckie,39,253,3009,409,17,147,8,5,696,5,13
gm. Nowe Miasto nad Pilicą,grójecki,mazowieckie,42,210,2804,333,6,233,5,1,614,0,11
gm. Pniewy,grójecki,mazowieckie,37,182,1402,337,7,185,0,6,502,2,6
gm. Warka,grójecki,mazowieckie,134,729,5388,1219,26,556,14,13,1900,14,27
gm. Garbatka-Letnisko,kozienicki,mazowieckie,42,186,1811,269,0,71,5,5,601,4,11
gm. Głowaczów,kozienicki,mazowieckie,28,249,2761,267,10,98,4,1,376,4,6
gm. Gniewoszów,kozienicki,mazowieckie,20,117,1356,145,5,79,4,1,207,0,4
gm. Grabów nad Pilicą,kozienicki,mazowieckie,23,110,1532,143,4,51,1,6,285,0,2
gm. Kozienice,kozienicki,mazowieckie,242,1141,8284,1536,28,363,20,19,3727,11,28
gm. Magnuszew,kozienicki,mazowieckie,43,196,2515,254,9,117,4,5,555,5,9
gm. Sieciechów,kozienicki,mazowieckie,32,146,1259,172,2,47,2,4,284,0,6
m. Legionowo,legionowski,mazowieckie,677,1537,10329,3947,66,577,55,56,11419,33,85
gm. Jabłonna,legionowski,mazowieckie,261,635,3316,1599,19,200,10,22,4347,17,26
gm. Nieporęt,legionowski,mazowieckie,191,457,3309,1210,35,185,9,11,3388,14,25
gm. Serock,legionowski,mazowieckie,208,479,3515,1117,28,166,9,18,3013,16,19
gm. Wieliszew,legionowski,mazowieckie,179,501,3424,1335,21,172,7,24,3085,26,19
gm. Chotcza,lipski,mazowieckie,16,48,759,74,0,54,1,0,125,0,1
gm. Ciepielów,lipski,mazowieckie,19,175,1821,211,1,109,2,1,263,3,6
gm. Lipsko,lipski,mazowieckie,74,344,3011,560,10,201,5,4,1012,10,12
gm. Rzeczniów,lipski,mazowieckie,21,104,1448,177,4,82,0,3,185,2,3
gm. Sienno,lipski,mazowieckie,29,177,1859,183,3,114,2,1,366,3,4
gm. Solec nad Wisłą,lipski,mazowieckie,48,143,1441,200,3,82,4,2,356,3,3
gm. Huszlew,łosicki,mazowieckie,15,77,1093,66,1,56,2,2,85,0,5
gm. Łosice,łosicki,mazowieckie,79,444,3273,505,19,218,11,9,861,4,8
gm. Olszanka,łosicki,mazowieckie,20,141,1180,89,1,62,3,1,103,4,1
gm. Platerów,łosicki,mazowieckie,23,140,1510,192,6,105,1,2,246,0,2
gm. Sarnaki,łosicki,mazowieckie,49,194,1584,207,6,119,4,6,368,3,12
gm. Stara Kornica,łosicki,mazowieckie,20,223,1597,146,8,49,4,2,165,0,11
m. Maków Mazowiecki,makowski,mazowieckie,80,345,2371,549,9,100,3,4,1192,3,11
gm. Czerwonka,makowski,mazowieckie,9,64,984,79,2,32,0,0,143,0,0
gm. Karniewo,makowski,mazowieckie,23,179,1697,200,3,93,5,2,261,5,4
gm. Krasnosielc,makowski,mazowieckie,34,186,1844,265,6,134,5,0,378,1,8
gm. Młynarze,makowski,mazowieckie,3,57,631,62,4,20,2,0,71,0,3
gm. Płoniawy-Bramura,makowski,mazowieckie,14,162,1737,221,6,94,2,0,297,4,4
gm. Różan,makowski,mazowieckie,32,119,1380,195,2,61,1,2,507,0,5
gm. Rzewnie,makowski,mazowieckie,12,54,1020,91,3,49,0,2,271,5,1
gm. Sypniewo,makowski,mazowieckie,12,102,1134,140,3,69,2,0,161,2,6
gm. Szelków,makowski,mazowieckie,32,109,1266,122,1,69,1,2,262,1,4
m. Mińsk Mazowiecki,miński,mazowieckie,446,1428,8753,3848,64,467,34,34,6718,35,69
gm. Cegłów,miński,mazowieckie,55,216,1725,441,2,178,9,1,639,5,9
gm. Dębe Wielkie,miński,mazowieckie,71,437,2817,820,21,108,7,5,1133,6,20
gm. Dobre,miński,mazowieckie,39,176,2017,386,12,91,6,3,487,0,9
gm. Halinów,miński,mazowieckie,164,644,3924,1357,18,199,15,16,2448,16,28
gm. Jakubów,miński,mazowieckie,32,162,1769,330,8,80,0,1,311,1,6
gm. Kałuszyn,miński,mazowieckie,36,170,1856,285,4,79,1,5,508,4,10
gm. Latowicz,miński,mazowieckie,30,183,1776,220,7,80,6,5,295,2,9
gm. Mińsk Mazowiecki,miński,mazowieckie,109,597,4311,1326,18,179,9,9,1641,9,30
gm. Mrozy,miński,mazowieckie,77,277,2567,527,6,158,2,1,883,4,12
gm. Siennica,miński,mazowieckie,49,249,2187,490,6,133,2,3,673,3,12
gm. Stanisławów,miński,mazowieckie,49,223,2409,417,4,106,14,5,423,3,9
m. Sulejówek,miński,mazowieckie,227,853,4721,1556,22,207,13,15,3805,14,28
m. Mława,mławski,mazowieckie,255,1021,6849,1784,28,342,16,11,4457,13,38
gm. Dzierzgowo,mławski,mazowieckie,7,52,977,82,2,48,0,0,149,0,1
gm. Lipowiec Kościelny,mławski,mazowieckie,21,198,1415,200,5,68,0,2,348,1,3
gm. Radzanów,mławski,mazowieckie,12,126,1061,113,2,62,2,0,200,1,2
gm. Strzegowo,mławski,mazowieckie,34,177,2211,311,5,106,4,5,472,4,7
gm. Stupsk,mławski,mazowieckie,36,118,1331,194,8,102,2,1,285,1,4
gm. Szreńsk,mławski,mazowieckie,13,143,1338,159,3,66,3,1,196,1,2
gm. Szydłowo,mławski,mazowieckie,28,97,1344,187,5,111,3,3,292,3,0
gm. Wieczfnia Kościelna,mławski,mazowieckie,22,115,1210,138,6,80,5,4,209,0,6
gm. Wiśniewo,mławski,mazowieckie,26,150,1454,285,8,79,2,5,333,4,3
m. Nowy Dwór Mazowiecki,nowodworski,mazowieckie,329,918,5335,2275,28,288,17,22,5190,19,35
gm. Czosnów,nowodworski,mazowieckie,110,339,2381,749,10,196,3,9,1866,14,13
gm. Leoncin,nowodworski,mazowieckie,40,154,1771,300,12,72,1,3,681,5,4
gm. Nasielsk,nowodworski,mazowieckie,122,582,5503,1173,17,229,11,13,1981,15,30
gm. Pomiechówek,nowodworski,mazowieckie,106,252,2401,658,15,147,3,5,1473,7,10
gm. Zakroczym,nowodworski,mazowieckie,39,165,1503,406,9,77,4,3,657,1,5
gm. Baranowo,ostrołęcki,mazowieckie,25,216,1876,238,11,139,5,10,395,1,8
gm. Czarnia,ostrołęcki,mazowieckie,6,74,765,60,1,44,1,1,78,1,1
gm. Czerwin,ostrołęcki,mazowieckie,28,141,1816,208,4,96,6,4,235,0,2
gm. Goworowo,ostrołęcki,mazowieckie,47,195,2768,382,5,113,3,3,385,3,6
gm. Kadzidło,ostrołęcki,mazowieckie,43,485,3266,476,7,136,7,5,571,3,12
gm. Lelis,ostrołęcki,mazowieckie,39,422,3048,479,6,119,4,11,504,1,14
gm. Łyse,ostrołęcki,mazowieckie,25,237,2326,352,6,132,4,6,341,3,8
gm. Myszyniec,ostrołęcki,mazowieckie,33,382,3263,330,11,139,4,1,433,4,9
gm. Olszewo-Borki,ostrołęcki,mazowieckie,63,466,3158,638,10,141,7,12,768,3,12
gm. Rzekuń,ostrołęcki,mazowieckie,70,438,3281,756,13,113,5,13,1148,2,9
gm. Troszyn,ostrołęcki,mazowieckie,7,104,1726,216,1,106,1,4,211,1,5
m. Ostrów Mazowiecka,ostrowski,mazowieckie,196,811,5237,1449,20,247,7,15,2860,11,23
gm. Andrzejewo,ostrowski,mazowieckie,13,131,1735,125,2,63,1,2,136,3,5
gm. Boguty-Pianki,ostrowski,mazowieckie,9,73,1184,72,4,43,0,1,109,1,2
gm. Brok,ostrowski,mazowieckie,31,95,930,132,1,36,0,6,380,0,0
gm. Małkinia Górna,ostrowski,mazowieckie,77,346,4056,428,10,154,4,4,805,5,9
gm. Nur,ostrowski,mazowieckie,12,51,1147,76,1,42,3,1,156,0,2
gm. Ostrów Mazowiecka,ostrowski,mazowieckie,75,484,4026,593,15,153,3,8,814,4,10
gm. Stary Lubotyń,ostrowski,mazowieckie,9,101,1394,116,4,46,1,0,107,0,2
gm. Szulborze Wielkie,ostrowski,mazowieckie,7,50,779,63,5,54,1,2,99,0,4
gm. Wąsewo,ostrowski,mazowieckie,26,151,1460,148,4,136,4,1,185,4,5
gm. Zaręby Kościelne,ostrowski,mazowieckie,18,118,1408,92,4,42,4,1,153,0,3
m. Józefów,otwocki,mazowieckie,214,871,4119,1751,22,188,23,15,4461,14,29
m. Otwock,otwocki,mazowieckie,490,1684,9825,3818,53,420,30,32,7868,32,74
gm. Celestynów,otwocki,mazowieckie,109,464,3716,915,18,164,14,13,1398,12,13
gm. Karczew,otwocki,mazowieckie,120,538,4433,1182,18,234,7,8,2185,9,18
gm. Kołbiel,otwocki,mazowieckie,61,337,2808,540,8,118,6,3,650,9,20
gm. Osieck,otwocki,mazowieckie,23,132,1434,203,7,37,6,1,255,1,12
gm. Sobienie-Jeziory,otwocki,mazowieckie,33,216,2012,543,8,169,5,2,581,5,13
gm. Wiązowna,otwocki,mazowieckie,130,567,3321,1018,22,181,12,10,2295,3,15
gm. Góra Kalwaria,piaseczyński,mazowieckie,300,1051,6165,2001,28,351,14,12,4160,22,32
gm. Konstancin-Jeziorna,piaseczyński,mazowieckie,307,805,5382,1662,36,272,17,21,5965,31,26
gm. Lesznowola,piaseczyński,mazowieckie,371,994,4434,2645,36,346,16,20,6814,35,43
gm. Piaseczno,piaseczyński,mazowieckie,1191,2554,13394,7161,110,851,43,80,20529,79,128
gm. Prażmów,piaseczyński,mazowieckie,95,392,2542,1106,20,110,6,8,1884,6,4
gm. Tarczyn,piaseczyński,mazowieckie,121,362,3185,764,19,149,5,7,1580,6,12
gm. Bielsk,płocki,mazowieckie,48,278,2553,369,8,266,1,5,585,4,9
gm. Bodzanów,płocki,mazowieckie,57,231,2297,336,8,294,1,0,631,1,12
gm. Brudzeń Duży,płocki,mazowieckie,62,213,2455,355,13,134,2,8,546,3,6
gm. Bulkowo,płocki,mazowieckie,32,164,1851,212,2,121,3,6,274,1,9
gm. Drobin,płocki,mazowieckie,28,165,2087,263,6,277,0,2,361,0,8
gm. Gąbin,płocki,mazowieckie,70,291,3215,541,5,210,0,9,963,3,8
gm. Łąck,płocki,mazowieckie,45,152,1514,330,13,108,1,2,637,2,5
gm. Mała Wieś,płocki,mazowieckie,25,181,1742,240,6,122,4,4,362,1,6
gm. Nowy Duninów,płocki,mazowieckie,28,106,1182,165,1,84,1,3,388,1,8
gm. Radzanowo,płocki,mazowieckie,75,267,2108,445,9,287,0,4,797,2,4
gm. Słubice,płocki,mazowieckie,14,112,1473,171,2,99,0,3,228,0,4
gm. Słupno,płocki,mazowieckie,96,285,1686,682,9,168,0,13,1560,4,6
gm. Stara Biała,płocki,mazowieckie,118,395,2988,786,13,248,2,3,1306,8,14
gm. Staroźreby,płocki,mazowieckie,49,194,2036,322,6,126,8,4,399,3,6
gm. Wyszogród,płocki,mazowieckie,40,169,1470,231,4,179,4,0,424,2,0
m. Płońsk,płoński,mazowieckie,200,720,4827,1333,17,244,19,14,3772,15,23
m. Raciąż,płoński,mazowieckie,24,101,1173,209,8,45,3,4,480,3,8
gm. Baboszewo,płoński,mazowieckie,39,196,2251,352,9,139,1,7,527,1,10
gm. Czerwińsk nad Wisłą,płoński,mazowieckie,23,149,1983,282,10,107,2,3,425,0,7
gm. Dzierzążnia,płoński,mazowieckie,23,93,1171,123,3,84,1,2,215,1,4
gm. Joniec,płoński,mazowieckie,27,82,827,202,16,49,2,2,449,0,2
gm. Naruszewo,płoński,mazowieckie,25,136,1738,213,2,102,4,4,382,3,5
gm. Nowe Miasto,płoński,mazowieckie,27,109,1427,275,7,57,4,3,464,1,4
gm. Płońsk,płoński,mazowieckie,39,271,2081,411,8,150,5,4,747,5,8
gm. Raciąż,płoński,mazowieckie,27,169,2683,274,2,146,6,1,330,0,5
gm. Sochocin,płoński,mazowieckie,33,174,1739,314,5,88,2,4,519,4,6
gm. Załuski,płoński,mazowieckie,35,129,1552,254,5,112,6,1,436,0,2
m. Piastów,pruszkowski,mazowieckie,302,789,5033,1927,22,228,14,24,4670,21,26
m. Pruszków,pruszkowski,mazowieckie,853,1940,11370,5152,69,649,49,60,13149,66,92
gm. Brwinów,pruszkowski,mazowieckie,401,815,5178,2297,43,321,24,31,6133,40,33
gm. Michałowice,pruszkowski,mazowieckie,257,595,3339,1552,23,222,16,20,5184,21,41
gm. Nadarzyn,pruszkowski,mazowieckie,175,506,2843,1225,15,209,18,20,3454,27,27
gm. Raszyn,pruszkowski,mazowieckie,261,778,5283,1801,34,269,19,19,3999,22,35
m. Przasnysz,przasnyski,mazowieckie,157,581,4115,872,29,211,10,10,2317,5,19
gm. Chorzele,przasnyski,mazowieckie,39,292,2821,294,2,199,5,0,586,4,9
gm. Czernice Borowe,przasnyski,mazowieckie,21,98,1277,132,7,71,1,2,197,1,4
gm. Jednorożec,przasnyski,mazowieckie,46,268,1928,311,11,110,2,7,343,5,2
gm. Krasne,przasnyski,mazowieckie,17,94,1175,100,5,86,0,0,130,0,2
gm. Krzynowłoga Mała,przasnyski,mazowieckie,12,121,1339,102,4,55,1,0,119,2,1
gm. Przasnysz,przasnyski,mazowieckie,35,189,2353,243,5,118,6,5,375,5,4
gm. Borkowice,przysuski,mazowieckie,25,141,1411,157,5,128,2,5,249,1,6
gm. Gielniów,przysuski,mazowieckie,16,130,1836,125,4,54,1,4,181,1,3
gm. Klwów,przysuski,mazowieckie,16,132,1591,124,4,154,2,0,138,2,1
gm. Odrzywół,przysuski,mazowieckie,12,118,1824,95,2,47,2,0,145,0,8
gm. Potworów,przysuski,mazowieckie,19,147,1484,145,4,74,2,2,118,1,2
gm. Przysucha,przysuski,mazowieckie,82,443,3981,534,10,185,8,3,1043,4,14
gm. Rusinów,przysuski,mazowieckie,15,141,1952,115,1,66,1,0,137,0,8
gm. Wieniawa,przysuski,mazowieckie,25,173,2123,162,5,92,1,2,233,1,3
gm. Gzy,pułtuski,mazowieckie,25,94,1193,129,9,114,4,5,197,2,4
gm. Obryte,pułtuski,mazowieckie,21,127,1798,150,9,167,5,0,274,1,6
gm. Pokrzywnica,pułtuski,mazowieckie,39,164,1551,207,4,78,1,3,398,2,0
gm. Pułtusk,pułtuski,mazowieckie,265,712,5805,1282,25,460,12,11,3008,11,25
gm. Świercze,pułtuski,mazowieckie,42,162,1346,252,4,90,0,4,392,0,10
gm. Winnica,pułtuski,mazowieckie,39,140,1313,185,8,146,2,1,263,0,3
gm. Zatory,pułtuski,mazowieckie,30,150,1697,207,3,100,1,2,360,1,6
m. Pionki,radomski,mazowieckie,184,574,4437,1068,20,212,5,13,2303,7,14
gm. Gózd,radomski,mazowieckie,33,317,3485,368,11,98,4,7,423,0,6
gm. Iłża,radomski,mazowieckie,104,462,4226,647,10,317,6,2,1126,8,10
gm. Jastrzębia,radomski,mazowieckie,31,274,2502,310,6,94,1,11,472,1,6
gm. Jedlińsk,radomski,mazowieckie,105,492,4784,635,12,173,5,9,866,10,9
gm. Jedlnia-Letnisko,radomski,mazowieckie,81,519,4116,710,10,139,7,7,1285,8,13
gm. Kowala,radomski,mazowieckie,69,584,3804,599,10,143,13,9,906,6,9
gm. Pionki,radomski,mazowieckie,78,319,3320,415,5,110,3,8,760,4,3
gm. Przytyk,radomski,mazowieckie,26,175,2908,225,9,100,4,1,282,2,7
gm. Skaryszew,radomski,mazowieckie,73,433,5384,601,11,175,2,6,782,4,11
gm. Wierzbica,radomski,mazowieckie,55,392,2968,459,10,113,2,6,559,0,5
gm. Wolanów,radomski,mazowieckie,39,337,3187,327,12,143,0,8,512,3,6
gm. Zakrzew,radomski,mazowieckie,83,468,4714,579,11,138,9,6,906,2,15
gm. Domanice,siedlecki,mazowieckie,16,122,1048,84,0,27,0,0,85,0,2
gm. Korczew,siedlecki,mazowieckie,20,96,875,76,0,85,0,0,185,0,4
gm. Kotuń,siedlecki,mazowieckie,75,332,2721,410,7,141,3,4,578,1,10
gm. Mokobody,siedlecki,mazowieckie,26,221,1935,161,8,64,5,2,214,3,2
gm. Mordy,siedlecki,mazowieckie,38,228,1972,212,8,97,5,4,326,4,9
gm. Paprotnia,siedlecki,mazowieckie,4,134,1088,58,4,57,1,1,78,1,1
gm. Przesmyki,siedlecki,mazowieckie,9,109,1302,69,4,65,1,0,120,1,3
gm. Siedlce,siedlecki,mazowieckie,151,869,5617,911,20,297,16,11,1444,5,20
gm. Skórzec,siedlecki,mazowieckie,46,318,2942,240,5,104,6,3,315,3,9
gm. Suchożebry,siedlecki,mazowieckie,27,226,1686,154,7,72,2,0,254,2,2
gm. Wiśniew,siedlecki,mazowieckie,21,263,2421,186,7,72,2,3,213,3,7
gm. Wodynie,siedlecki,mazowieckie,17,131,1705,133,0,69,2,2,174,1,1
gm. Zbuczyn,siedlecki,mazowieckie,46,509,4004,327,7,133,12,9,335,3,8
m. Sierpc,sierpecki,mazowieckie,146,454,4129,1221,16,215,10,11,2446,8,17
gm. Gozdowo,sierpecki,mazowieckie,31,198,1638,241,2,86,3,2,381,3,5
gm. Mochowo,sierpecki,mazowieckie,41,160,1692,305,3,119,1,3,287,1,4
gm. Rościszewo,sierpecki,mazowieckie,15,114,1453,117,4,91,2,1,184,0,0
gm. Sierpc,sierpecki,mazowieckie,27,168,1875,375,5,101,5,6,442,2,7
gm. Szczutowo,sierpecki,mazowieckie,30,95,1276,207,6,40,3,4,316,0,3
gm. Zawidz,sierpecki,mazowieckie,32,184,2083,290,4,163,1,0,358,2,9
m. Sochaczew,sochaczewski,mazowieckie,368,1146,7527,2318,25,347,26,17,5972,22,39
gm. Brochów,sochaczewski,mazowieckie,31,163,1346,219,3,53,2,2,387,5,6
gm. Iłów,sochaczewski,mazowieckie,27,184,1999,314,6,149,0,9,338,1,8
gm. Młodzieszyn,sochaczewski,mazowieckie,33,146,1758,261,4,74,2,3,368,3,10
gm. Nowa Sucha,sochaczewski,mazowieckie,36,210,1914,428,3,116,5,2,602,4,7
gm. Rybno,sochaczewski,mazowieckie,18,104,1113,181,7,81,0,3,196,1,2
gm. Sochaczew,sochaczewski,mazowieckie,85,389,2790,646,16,189,3,9,1262,3,20
gm. Teresin,sochaczewski,mazowieckie,131,418,3043,731,11,162,4,1,1443,6,18
